A,B,C,D,E
1,1,1,1,-0
0,0,0,1,0.9183
0,1,0,1,0.9183
0,1,1,1,0.9183
1,0,0,0,0.9183
1,0,1,0,0.9183
1,1,1,0,0.9183
1,1,1,2,0.9183
1,2,1,2,0.9183
1,2,2,2,0.9183
2,1,1,1,0.9183
2,1,2,1,0.9183
2,2,2,1,0.9183
0,0,1,0,1.585
0,0,1,1,1.585
0,0,1,2,1.585
0,0,2,1,1.585
0,1,0,0,1.585
0,1,0,2,1.585
0,1,1,0,1.585
0,1,1,2,1.585
0,1,2,0,1.585
0,1,2,1,1.585
0,1,2,2,1.585
0,2,0,1,1.585
0,2,1,0,1.585
0,2,1,1,1.585
0,2,1,2,1.585
0,2,2,1,1.585
1,0,0,1,1.585
1,0,0,2,1.585
1,0,1,1,1.585
1,0,1,2,1.585
1,0,2,0,1.585
1,0,2,1,1.585
1,0,2,2,1.585
1,1,0,0,1.585
1,1,0,1,1.585
1,1,0,2,1.585
1,1,2,0,1.585
1,1,2,1,1.585
1,1,2,2,1.585
1,2,0,0,1.585
1,2,0,1,1.585
1,2,0,2,1.585
1,2,1,0,1.585
1,2,1,1,1.585
1,2,2,0,1.585
1,2,2,1,1.585
2,0,0,1,1.585
2,0,1,0,1.585
2,0,1,1,1.585
2,0,1,2,1.585
2,0,2,1,1.585
2,1,0,0,1.585
2,1,0,1,1.585
2,1,0,2,1.585
2,1,1,0,1.585
2,1,1,2,1.585
2,1,2,0,1.585
2,1,2,2,1.585
2,2,0,1,1.585
2,2,1,0,1.585
2,2,1,1,1.585
2,2,1,2,1.585
