X(1),X(2),X(3),X(4),X(5),X(6),X(7),Entropy
0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0
2,2,2,2,2,2,2,0
0,0,0,0,0,0,1,0.65
0,0,0,0,0,0,2,0.65
0,1,1,1,1,1,1,0.65
0,2,2,2,2,2,2,0.65
1,0,0,0,0,0,0,0.65
1,1,1,1,1,1,0,0.65
1,1,1,1,1,1,2,0.65
1,2,2,2,2,2,2,0.65
2,0,0,0,0,0,0,0.65
2,1,1,1,1,1,1,0.65
2,2,2,2,2,2,0,0.65
2,2,2,2,2,2,1,0.65
0,1,0,1,0,1,0,1
0,2,0,2,0,2,0,1
1,0,1,0,1,0,1,1
1,2,1,2,1,2,1,1
2,0,2,0,2,0,2,1
2,1,2,1,2,1,2,1
0,0,0,0,0,1,0,1.252
0,0,0,0,0,1,1,1.252
0,0,0,0,0,1,2,1.252
0,0,0,0,0,2,0,1.252
0,0,0,0,0,2,1,1.252
0,0,0,0,0,2,2,1.252
0,0,0,0,1,0,0,1.252
0,0,0,0,2,0,0,1.252
0,0,0,1,0,0,0,1.252
0,0,0,2,0,0,0,1.252
0,0,1,0,0,0,0,1.252
0,0,1,1,1,1,1,1.252
0,0,2,0,0,0,0,1.252
0,0,2,2,2,2,2,1.252
0,1,0,0,0,0,0,1.252
0,1,1,1,1,1,0,1.252
0,1,1,1,1,1,2,1.252
0,1,2,2,2,2,2,1.252
0,2,0,0,0,0,0,1.252
0,2,1,1,1,1,1,1.252
0,2,2,2,2,2,0,1.252
0,2,2,2,2,2,1,1.252
1,0,0,0,0,0,1,1.252
1,0,0,0,0,0,2,1.252
1,0,1,1,1,1,1,1.252
1,0,2,2,2,2,2,1.252
1,1,0,0,0,0,0,1.252
1,1,0,1,1,1,1,1.252
1,1,1,0,1,1,1,1.252
1,1,1,1,0,1,1,1.252
1,1,1,1,1,0,0,1.252
1,1,1,1,1,0,1,1.252
1,1,1,1,1,0,2,1.252
1,1,1,1,1,2,0,1.252
1,1,1,1,1,2,1,1.252
1,1,1,1,1,2,2,1.252
1,1,1,1,2,1,1,1.252
1,1,1,2,1,1,1,1.252
1,1,2,1,1,1,1,1.252
1,1,2,2,2,2,2,1.252
1,2,0,0,0,0,0,1.252
1,2,1,1,1,1,1,1.252
1,2,2,2,2,2,0,1.252
1,2,2,2,2,2,1,1.252
2,0,0,0,0,0,1,1.252
2,0,0,0,0,0,2,1.252
2,0,1,1,1,1,1,1.252
2,0,2,2,2,2,2,1.252
2,1,0,0,0,0,0,1.252
2,1,1,1,1,1,0,1.252
2,1,1,1,1,1,2,1.252
2,1,2,2,2,2,2,1.252
2,2,0,0,0,0,0,1.252
2,2,0,2,2,2,2,1.252
2,2,1,1,1,1,1,1.252
2,2,1,2,2,2,2,1.252
2,2,2,0,2,2,2,1.252
2,2,2,1,2,2,2,1.252
2,2,2,2,0,2,2,1.252
2,2,2,2,1,2,2,1.252
2,2,2,2,2,0,0,1.252
2,2,2,2,2,0,1,1.252
2,2,2,2,2,0,2,1.252
2,2,2,2,2,1,0,1.252
2,2,2,2,2,1,1,1.252
2,2,2,2,2,1,2,1.252
0,0,0,0,1,1,1,1.459
0,0,0,0,2,2,2,1.459
0,0,1,0,1,0,1,1.459
0,0,2,0,2,0,2,1.459
0,1,1,0,1,0,1,1.459
0,1,2,1,2,1,2,1.459
0,2,1,2,1,2,1,1.459
0,2,2,0,2,0,2,1.459
1,0,0,1,0,1,0,1.459
1,0,2,0,2,0,2,1.459
1,1,0,1,0,1,0,1.459
1,1,1,1,0,0,0,1.459
1,1,1,1,2,2,2,1.459
1,1,2,1,2,1,2,1.459
1,2,0,2,0,2,0,1.459
1,2,2,1,2,1,2,1.459
2,0,0,2,0,2,0,1.459
2,0,1,0,1,0,1,1.459
2,1,0,1,0,1,0,1.459
2,1,1,2,1,2,1,1.459
2,2,0,2,0,2,0,1.459
2,2,1,2,1,2,1,1.459
2,2,2,2,0,0,0,1.459
2,2,2,2,1,1,1,1.459
0,0,0,0,1,0,1,1.459
0,0,0,0,2,0,2,1.459
0,0,0,1,0,0,1,1.459
0,0,0,1,1,1,1,1.459
0,0,0,2,0,0,2,1.459
0,0,0,2,2,2,2,1.459
0,0,1,0,0,0,1,1.459
0,0,2,0,0,0,2,1.459
0,1,0,0,0,0,1,1.459
0,1,0,0,1,0,1,1.459
0,1,0,1,0,0,1,1.459
0,1,0,1,0,1,1,1.459
0,1,0,1,0,1,2,1.459
0,1,0,1,1,0,1,1.459
0,1,0,1,1,1,1,1.459
0,1,1,0,1,1,1,1.459
0,1,1,1,0,1,1,1.459
0,1,1,1,1,0,1,1.459
0,2,0,0,0,0,2,1.459
0,2,0,0,2,0,2,1.459
0,2,0,2,0,0,2,1.459
0,2,0,2,0,2,1,1.459
0,2,0,2,0,2,2,1.459
0,2,0,2,2,0,2,1.459
0,2,0,2,2,2,2,1.459
0,2,2,0,2,2,2,1.459
0,2,2,2,0,2,2,1.459
0,2,2,2,2,0,2,1.459
1,0,0,0,0,1,0,1.459
1,0,0,0,1,0,0,1.459
1,0,0,1,0,0,0,1.459
1,0,1,0,0,0,0,1.459
1,0,1,0,0,1,0,1.459
1,0,1,0,1,0,0,1.459
1,0,1,0,1,0,2,1.459
1,0,1,0,1,1,0,1.459
1,0,1,1,0,1,0,1.459
1,0,1,1,1,1,0,1.459
1,1,0,1,1,1,0,1.459
1,1,1,0,0,0,0,1.459
1,1,1,0,1,1,0,1.459
1,1,1,1,0,1,0,1.459
1,1,1,1,2,1,2,1.459
1,1,1,2,1,1,2,1.459
1,1,1,2,2,2,2,1.459
1,1,2,1,1,1,2,1.459
1,2,1,1,1,1,2,1.459
1,2,1,1,2,1,2,1.459
1,2,1,2,1,1,2,1.459
1,2,1,2,1,2,0,1.459
1,2,1,2,1,2,2,1.459
1,2,1,2,2,1,2,1.459
1,2,1,2,2,2,2,1.459
1,2,2,1,2,2,2,1.459
1,2,2,2,1,2,2,1.459
1,2,2,2,2,1,2,1.459
2,0,0,0,0,2,0,1.459
2,0,0,0,2,0,0,1.459
2,0,0,2,0,0,0,1.459
2,0,2,0,0,0,0,1.459
2,0,2,0,0,2,0,1.459
2,0,2,0,2,0,0,1.459
2,0,2,0,2,0,1,1.459
2,0,2,0,2,2,0,1.459
2,0,2,2,0,2,0,1.459
2,0,2,2,2,2,0,1.459
2,1,1,1,1,2,1,1.459
2,1,1,1,2,1,1,1.459
2,1,1,2,1,1,1,1.459
2,1,2,1,1,1,1,1.459
2,1,2,1,1,2,1,1.459
2,1,2,1,2,1,0,1.459
2,1,2,1,2,1,1,1.459
2,1,2,1,2,2,1,1.459
2,1,2,2,1,2,1,1.459
2,1,2,2,2,2,1,1.459
2,2,0,2,2,2,0,1.459
2,2,1,2,2,2,1,1.459
2,2,2,0,0,0,0,1.459
2,2,2,0,2,2,0,1.459
2,2,2,1,1,1,1,1.459
2,2,2,1,2,2,1,1.459
2,2,2,2,0,2,0,1.459
2,2,2,2,1,2,1,1.459
